id,title,description,first_created_location,game_genre,game_type,number_players,play_time,first_published_year,image,source,latitude,longitude
11,Grand Theft Auto V,"An open-world crime saga following three protagonists in the fictional city of Los Santos.",USA,"{""Action-adventure""}","{""Open-world"",""third-person shooter""}","{1}","{Varies}",2013,https://upload.wikimedia.org/wikipedia/en/a/a5/Grand_Theft_Auto_V.png,https://en.wikipedia.org/wiki/Grand_Theft_Auto_V,37.0902,-95.7129
12,The Last of Us Part II,"A post-apocalyptic narrative-driven game exploring themes of revenge and redemption.",USA,"{""Action-adventure""}","{""Third-person shooter"",stealth}","{1}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/a/a5/The_Last_of_Us_Part_II.jpg,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II,37.0902,-95.7129
13,Animal Crossing: New Horizons,"A life simulation game where players develop and customize a deserted island community.",Japan,"{Simulation}","{Life simulation,real-time}","{1}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/7/79/Animal_Crossing_New_Horizons.jpg,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Horizons,36.2048,138.2529
14,Doom Eternal,"A fast-paced first-person shooter where players battle demonic forces across various dimensions.",USA,"{First-person shooter}","{Action,fast-paced combat}","{1}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/8/8f/Doom_Eternal.jpg,https://en.wikipedia.org/wiki/Doom_Eternal,37.0902,-95.7129
15,Half-Life: Alyx,"A virtual reality first-person shooter set between the events of Half-Life and Half-Life 2.",USA,"{First-person shooter}","{VR,""puzzle-solving""}","{1}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/5/5e/Half-Life_Alyx_Logo.jpg,https://en.wikipedia.org/wiki/Half-Life:_Alyx,37.0902,-95.7129
16,Cyberpunk 2077,"An open-world RPG set in a dystopian future where players navigate a city filled with cybernetic enhancements.",Poland,"{""Action role-playing""}","{Open-world,""first-person shooter""}","{1}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg,https://en.wikipedia.org/wiki/Cyberpunk_2077,51.9194,19.1451
17,Among Us,"A multiplayer social deduction game where crewmates work together to identify impostors within their ranks.",USA,"{Party,""social deduction""}","{Multiplayer,deception}","{""4-10""}","{Varies}",2018,https://upload.wikimedia.org/wikipedia/en/f/f6/Among_Us_cover_art.png,https://en.wikipedia.org/wiki/Among_Us,37.0902,-95.7129
18,Fall Guys: Ultimate Knockout,"A battle royale platformer where players compete in obstacle courses and mini-games to be the last one standing.",United Kingdom,"{""Battle royale"",platformer}","{Multiplayer,""obstacle course""}","{1-60}","{Varies}",2020,https://upload.wikimedia.org/wikipedia/en/2/2d/Fall_Guys_Ultimate_Knockout.jpg,https://en.wikipedia.org/wiki/Fall_Guys,55.3781,-3.4360
19,Catan,"Players collect and trade resources to build roads, settlements, and cities on a modular board.",Germany,"{Strategy,Economic}","{""Resource Management"",Negotiation}","{""3-4""}","{""60-120 minutes""}",1995,https://upload.wikimedia.org/wikipedia/commons/2/2e/Catan_board.jpg,https://en.wikipedia.org/wiki/Catan,51.1657,10.4515
20,The Game of Life,"Simulates a person's travels through their life, from early adulthood to retirement, with jobs, marriage, and possible children.",USA,"{Family,Simulation}","{""Roll and Move""}","{""2-6""}","{""45 minutes""}",1960,https://upload.wikimedia.org/wikipedia/commons/1/1b/The_Game_of_Life_board.jpg,https://en.wikipedia.org/wiki/The_Game_of_Life,37.0902,-95.7129
21,Cluedo,"A murder-mystery game where players deduce who committed the crime, with what weapon, and in which room.",United Kingdom,"{Mystery,Deduction}","{""Roll and Move""}","{""3-6""}","{""45 minutes""}",1949,https://upload.wikimedia.org/wikipedia/commons/3/3a/Cluedo_board.jpg,https://en.wikipedia.org/wiki/Cluedo,55.3781,-3.4360
22,Codenames,"Two teams compete to identify their agents based on one-word clues provided by their spymasters.",Czech Republic,"{Party,Word}","{Deduction,""Team-Based""}","{""2-8""}","{""15 minutes""}",2015,https://upload.wikimedia.org/wikipedia/commons/8/8d/Codenames_board.jpg,https://en.wikipedia.org/wiki/Codenames_(board_game),49.8175,15.4730
23,Ticket to Ride,"Players collect train cards to claim railway routes connecting cities across North America.",USA,"{Strategy,""Route-Building""}","{""Set Collection""}","{""2-5""}","{""30-60 minutes""}",2004,https://upload.wikimedia.org/wikipedia/commons/5/5d/Ticket_to_Ride_board.jpg,https://en.wikipedia.org/wiki/Ticket_to_Ride_(board_game),37.0902,-95.7129
24,Pandemic,"A cooperative game where players work together to stop the spread of global pandemics.",USA,"{Cooperative,Strategy}","{""Hand Management""}","{""2-4""}","{""45 minutes""}",2008,https://upload.wikimedia.org/wikipedia/commons/5/58/Pandemic_board.jpg,https://en.wikipedia.org/wiki/Pandemic_(board_game),37.0902,-95.7129
25,Carcassonne,"Players develop the area around the medieval fortified city of Carcassonne by strategically placing tiles.",France,"{""Tile-Placement"", Strategy}","{""Area Control""}","{""2-5""}","{""35 minutes""}",2000,https://upload.wikimedia.org/wikipedia/commons/6/6a/Carcassonne_board.jpg,https://en.wikipedia.org/wiki/Carcassonne_(board_game),46.6034,1.8883
26,Monopoly,"Players buy, sell, and trade properties to bankrupt their opponents.",USA,"{Economic,Family}","{""Roll and Move""}","{""2-8""}","{""60-180 minutes""}",1935,https://upload.wikimedia.org/wikipedia/commons/5/5e/Monopoly_board.jpg,https://en.wikipedia.org/wiki/Monopoly_(game),37.0902,-95.7129
27,Risk,"Players control armies to conquer territories and eliminate opponents.",France,"{Strategy,War}","{""Area Control"",""Dice Rolling""}","{""2-6""}","{""120 minutes""}",1957,https://upload.wikimedia.org/wikipedia/commons/6/6f/Risk_board.jpg,https://en.wikipedia.org/wiki/Risk_(game),46.6034,1.8883
28,Scrabble,"Players use lettered tiles to create words and score points based on letter values.",USA,"{Word,Family}","{""Tile Placement""}","{""2-4""}","{""50 minutes""}",1938,https://upload.wikimedia.org/wikipedia/commons/5/5d/Scrabble_board.jpg,https://en.wikipedia.org/wiki/Scrabble,37.0902,-95.7129
29,Chess,"A classic strategy game where two players move pieces with distinct rules to checkmate the opponent's king.",India,"{""Abstract Strategy""}","{""Grid Movement""}","{2}","{""30-180 minutes""}","6th century",https://upload.wikimedia.org/wikipedia/commons/d/d6/Chess_board.jpg,https://en.wikipedia.org/wiki/Chess,20.5937,78.9629
30,Settlers of Catan,"Players collect and trade resources to build roads, settlements, and cities on a modular board.",Germany,"{Strategy,Economic}","{""Resource Management"",Negotiation}","{""3-4""}","{""60-120 minutes""}",1995,https://upload.wikimedia.org/wikipedia/commons/2/2e/Catan_board.jpg,https://en.wikipedia.org/wiki/Catan,51.1657,10.4515
31,Dixit,"Players use abstract illustrations on cards to guess which image matches a storyteller's clue.",France,"{Party,Creative}","{Storytelling}","{""3-6""}","{""30 minutes""}",2008,https://upload.wikimedia.org/wikipedia/commons/4/4f/Dixit_game.jpg,https://en.wikipedia.org/wiki/Dixit_(card_game),46.6034,1.8883
32,7 Wonders,"Players develop civilizations by drafting cards representing various structures and wonders.",Belgium,"{Strategy,""Card Drafting""}","{""Set Collection""}","{""2-7""}","{""30 minutes""}",2010,https://upload.wikimedia.org/wikipedia/commons/3/3f/7_Wonders_game.jpg,https://en.wikipedia.org/wiki/7_Wonders_(board_game),50.5039,4.4699
33,Azul,"Players take turns drafting colored tiles to decorate the walls of a Portuguese palace.",Portugal,"{""Abstract Strategy"",""Pattern Building""}","{""Tile Placement""}","{""2-4""}","{""30-45 minutes""}",2017,https://upload.wikimedia.org/wikipedia/commons/9/9c/Azul_game.jpg,https://en.wikipedia.org/wiki/Azul_(board_game),39.3999,-8.2245
34,Terraforming Mars,"Players compete to transform Mars into a habitable planet by managing resources and projects.",Sweden,"{Strategy,Economic}","{""Engine Building""}","{""1-5""}","{""120 minutes""}",2016,https://upload.wikimedia.org/wikipedia/commons/1/1a/Terraforming_Mars_game.jpg,https://en.wikipedia.org/wiki/Terraforming_Mars,60.1282,18.6435
35,Scythe,"Set in an alternate-history 1920s, players lead factions to conquer territory and build mechs.",USA,"{Strategy,""Area Control""}","{""Resource Management""}","{""1-7""}","{""90-115 minutes""}",2016,https://upload.wikimedia.org/wikipedia/commons/8/8c/Scythe_game.jpg,https://en.wikipedia.org/wiki/Scythe_(board_game),37.0902,-95.7129
36,Gloomhaven,"A cooperative campaign game of tactical combat in a persistent fantasy world.",USA,"{Cooperative,Strategy}","{""Dungeon Crawl""}","{""1-4""}","{""90-150 minutes""}",2017,https://upload.wikimedia.org/wikipedia/commons/2/2a/Gloomhaven_game.jpg,https://en.wikipedia.org/wiki/Gloomhaven,37.0902,-95.7129
37,Clank!,"A deck-building adventure game where players explore a dungeon to steal artifacts without making too much noise.",USA,"{""Deck-building"",Adventure}","{""Push Your Luck"",Exploration}","{""2-4""}","{""30-60 minutes""}",2016,https://upload.wikimedia.org/wikipedia/en/5/5d/Clank_board_game.jpg,https://en.wikipedia.org/wiki/Clank!,37.0902,-95.7129
38,Uno,"Players aim to be the first to score 500 points by discarding all their cards in various rounds.",USA,"{Family,Shedding}","{Matching,Shedding}","{""2-10""}","{""30 minutes""}",1971,https://upload.wikimedia.org/wikipedia/commons/3/30/UNO_cards.jpg,https://en.wikipedia.org/wiki/Uno_(card_game),37.0902,-95.7129
39,Bridge,"A trick-taking game played in partnerships, focusing on bidding and strategic play.",USA,"{""Trick-taking"",Strategy}","{Bidding,Partnership}","{4}","{""60-180 minutes""}",1925,https://upload.wikimedia.org/wikipedia/commons/0/0f/Bridge_play.jpg,https://en.wikipedia.org/wiki/Contract_bridge,37.0902,-95.7129
40,Hearts,"Players aim to avoid certain cards that carry penalty points, particularly hearts and the queen of spades.",USA,"{""Trick-taking"",Evasion}","{Avoidance}","{""3-6""}","{""30-60 minutes""}",1850,https://upload.wikimedia.org/wikipedia/commons/5/57/Hearts_card_game.jpg,https://en.wikipedia.org/wiki/Hearts_(card_game),37.0902,-95.7129
41,Spades,"A trick-taking game where players bid the number of tricks they expect to take, aiming to meet their bid.",USA,"{""Trick-taking"",Partnership}","{Bidding}","{4}","{""30-60 minutes""}",1930s,https://upload.wikimedia.org/wikipedia/commons/6/6f/Spades_card_game.jpg,https://en.wikipedia.org/wiki/Spades,37.0902,-95.7129
42,Cribbage,"Players score points by forming combinations of cards, aiming to be the first to reach a target score.",United Kingdom,"{Card,Board}","{Combination,Scoring}","{""2-4""}","{""30-60 minutes""}","17th century",https://upload.wikimedia.org/wikipedia/commons/3/3f/Cribbage_board.jpg,https://en.wikipedia.org/wiki/Cribbage,55.3781,-3.4360
43,Euchre,"A trick-taking game with a trump suit, where players aim to win the majority of tricks.",USA,"{""Trick-taking"",Partnership}","{Bidding}","{4}","{""25 minutes""}","19th century",https://upload.wikimedia.org/wikipedia/commons/8/8b/Euchre_score_cards.jpg,https://en.wikipedia.org/wiki/Euchre,37.0902,-95.7129
44,Rummy,"Players form sets or runs of cards to score points, aiming to be the first to deplete their hand.",USA,"{Matching,Shedding}","{""Set Collection""}","{""2-6""}","{""30-60 minutes""}",1909,https://upload.wikimedia.org/wikipedia/commons/3/34/Rummy_tiles.jpg,https://en.wikipedia.org/wiki/Rummy,37.0902,-95.7129
45,Canasta,"A Rummy variant where players aim to make melds of seven cards of the same rank.",Uruguay,"{Matching,Shedding}","{""Set Collection""}","{""2-6""}","{""50 minutes""}",1939,https://upload.wikimedia.org/wikipedia/commons/1/1e/Canasta_game.jpg,https://en.wikipedia.org/wiki/Canasta,-32.5228,-55.7658
46,Go Fish,"Players ask opponents for specific cards to form pairs, aiming to collect the most pairs.",USA,"{Matching,Family}","{""Set Collection""}","{""2-6""}","{""20 minutes""}","19th century",https://upload.wikimedia.org/wikipedia/commons/4/4b/Go_Fish_game.jpg,https://en.wikipedia.org/wiki/Go_Fish,37.0902,-95.7129
47,Old Maid,"Players aim to form pairs and avoid being left with the unmatchable 'Old Maid' card.",United Kingdom,"{Matching,Shedding}","{Avoidance}","{""2-8""}","{""15 minutes""}","17th century",https://upload.wikimedia.org/wikipedia/commons/2/2b/Old_Maid_cards.jpg,https://en.wikipedia.org/wiki/Old_Maid_(card_game),55.3781,-3.4360
48,War,"A simple game where players flip cards, and the higher card wins the round; the goal is to collect all cards.",USA,"{Comparing,Children}","{Luck-based}","{2}","{10-40 minutes}","19th century",https://upload.wikimedia.org/wikipedia/commons/5/5c/War_card_game.jpg,https://en.wikipedia.org/wiki/War_(card_game),37.0902,-95.7129
49,Spit,"A fast-paced game where players simultaneously place cards in sequence, aiming to get rid of their deck first.",USA,"{Shedding,Speed}","{""Real-time""}","{2}","{""5-10 minutes""}",1980s,https://upload.wikimedia.org/wikipedia/commons/6/6e/Spit_card_game.jpg,https://en.wikipedia.org/wiki/Spit_(card_game),37.0902,-95.7129
50,Speed,"Players race to place cards from their hand onto two central piles, matching by number or suit.",USA,"{Shedding,Speed}","{""Real-time""}","{2}","{""5-10 minutes""}",1980s,https://upload.wikimedia.org/wikipedia/commons/5/5a/Speed_card_game.jpg,https://en.wikipedia.org/wiki/Speed_(card_game),37.0902,-95.7129
51,Phase 10,"Players complete specific card combinations, called phases, in order to progress through the game.",USA,"{Rummy,Shedding}","{""Set Collection""}","{""2-6""}","{""45-90 minutes""}",1982,https://upload.wikimedia.org/wikipedia/commons/2/2a/Phase_10_cards.jpg,https://en.wikipedia.org/wiki/Phase_10,37.0902,-95.7129
52,Pinochle,"A trick-taking game where players score points by forming combinations of cards into melds.",USA,"{""Trick-taking"",Melding}","{Bidding}","{""2-4""}","{""60 minutes""}",1904,https://upload.wikimedia.org/wikipedia/commons/4/4e/Pinochle_cards.jpg,https://en.wikipedia.org/wiki/Pinochle,37.0902,-95.7129
53,Whist,"A classic trick-taking game without bidding, aiming to win as many tricks as possible.",United Kingdom,"{""Trick-taking"",Classic}","{Partnership}","{4}","{""30-60 minutes""}","18th century",https://upload.wikimedia.org/wikipedia/commons/7/7b/Whist_game.jpg,https://en.wikipedia.org/wiki/Whist,55.3781,-3.4360
54,Skat,"A German trick-taking game with bidding, where one player plays against the other two.",Germany,"{""Trick-taking"",Bidding}","{Partnership}","{3}","{""45 minutes""}",1810,https://upload.wikimedia.org/wikipedia/commons/3/3a/Skat_cards.jpg,https://en.wikipedia.org/wiki/Skat_(card_game),51.1657,10.4515
